Sample Name	Protocol REF	Parameter Value[QA Instrument]	Parameter Value[QA Score - 260/280]	Term Source REF	Term Accession Number	Parameter Value[QA Score - 260/230]	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Spike-in Quality Control]	Term Source REF	Term Accession Number	Parameter Value[Spike-in Mix Number]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Library Selection]	Term Source REF	Term Accession Number	Parameter Value[Library Layout]	Term Source REF	Term Accession Number	Parameter Value[Stranded]	Term Source REF	Term Accession Number	Parameter Value[Library QA Instrument]	Term Source REF	Term Accession Number	Parameter Value[Library QA Assay]	Term Source REF	Term Accession Number	Parameter Value[Fragment Size]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sequencing Instrument]	Term Source REF	Term Accession Number	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Parameter Value[Base Caller]	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
FL6-1R	Nucleic Acid Extraction	Nanodrop 2000	1.97			1.23			FL6-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			351	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL6-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_FL6-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	135624069	read	SO	http://purl.obolibrary.org/obo/SO_0000150	7.13	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL6-1S	Nucleic Acid Extraction	Nanodrop 2000	2.02			2.34			FL6-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			367	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL6-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_FL6-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	121351708	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.49	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL7-1R	Nucleic Acid Extraction	Nanodrop 2000	2.01			2.14			FL7-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			332	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL7-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_FL7-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	115343224	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.77	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL7-1S	Nucleic Acid Extraction	Nanodrop 2000	1.99			2.38			FL7-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			362	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL7-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_FL7-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	129528436	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.14	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL8-1R	Nucleic Acid Extraction	Nanodrop 2000	2			1.94			FL8-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			333	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL8-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_FL8-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	132153355	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.75	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
FL8-1S	Nucleic Acid Extraction	Nanodrop 2000	1.99			2.41			FL8-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			379	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_FL8-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_FL8-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	130275272	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC10-1R	Nucleic Acid Extraction	Nanodrop 2000	1.96			1.88			GC10-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			334	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC10-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_GC10-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	134977139	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.41	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC10-1S	Nucleic Acid Extraction	Nanodrop 2000	2			2.42			GC10-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			351	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC10-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_GC10-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	112742330	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.93	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC12-1R	Nucleic Acid Extraction	Nanodrop 2000	2.02			2.12			GC12-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			338	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC12-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_GC12-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	105931454	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.04	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC12-1S	Nucleic Acid Extraction	Nanodrop 2000	2.01			2.31			GC12-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			344	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC12-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_GC12-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	119046921	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.51	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC2-1R	Nucleic Acid Extraction	Nanodrop 2000	2.01			1.59			GC2-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			346	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC2-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_GC2-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	129416765	read	SO	http://purl.obolibrary.org/obo/SO_0000150	12.75	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC2-1S	Nucleic Acid Extraction	Nanodrop 2000	2.01			2.35			GC2-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			348	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC2-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_GC2-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	130505407	read	SO	http://purl.obolibrary.org/obo/SO_0000150	11.88	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC3-1R	Nucleic Acid Extraction	Nanodrop 2000	1.98			2.16			GC3-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			311	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC3-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_GC3-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	110888542	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.64	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC3-1S	Nucleic Acid Extraction	Nanodrop 2000	1.95			2.01			GC3-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			364	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC3-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_GC3-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	122851065	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.73	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC4-1R	Nucleic Acid Extraction	Nanodrop 2000	2.02			2.02			GC4-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			342	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC4-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_GC4-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	117011038	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.35	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC4-1S	Nucleic Acid Extraction	Nanodrop 2000	2			2.35			GC4-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			357	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC4-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_GC4-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	130071270	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.9	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC6-1R	Nucleic Acid Extraction	Nanodrop 2000	2.01			2.23			GC6-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			347	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC6-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_GC6-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	128364999	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.97	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC6-1S	Nucleic Acid Extraction	Nanodrop 2000	1.99			2.39			GC6-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			374	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC6-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_GC6-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	123573858	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.97	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC7-1R	Nucleic Acid Extraction	Nanodrop 2000	2.01			2.2			GC7-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			334	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC7-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_GC7-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	124556818	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.31	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC7-1S	Nucleic Acid Extraction	Nanodrop 2000	2			2.4			GC7-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			375	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC7-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_GC7-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	122019815	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.02	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC8-1R	Nucleic Acid Extraction	Nanodrop 2000	2.01			2.09			GC8-1R	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			358	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC8-1R_R1_raw.fastq.gz, GLDS-375_rna-seq_GC8-1R_R2_raw.fastq.gz	GeneLab raw data processing protocol	167906246	read	SO	http://purl.obolibrary.org/obo/SO_0000150	31.59	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
GC8-1S	Nucleic Acid Extraction	Nanodrop 2000	2.02			2.41			GC8-1S	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 2			Library Construction	Ribo-depletion			PAIRED	OSD	https://osdr.nasa.gov/	STRANDED			Agilent 4200 TapeStation			D1000 ScreenTape			362	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Nucleic Acid Sequencing	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	100	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	OSD	https://osdr.nasa.gov/	rna-seq	GLDS-375_rna-seq_GC8-1S_R1_raw.fastq.gz, GLDS-375_rna-seq_GC8-1S_R2_raw.fastq.gz	GeneLab raw data processing protocol	120650526	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.77	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-375_rna_seq_raw_multiqc_report.zip
